date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:08:26	15027/15027	---M--	200	added ('OK')	image/png	etag:%22545cabe1-3ab3%22	http://api.qunitjs.com/jquery-wp-content/themes/jquery/content/books/qunit-tddjs.png	api.qunitjs.com/jquery-wp-content/themes/jquery/content/books/qunit-tddjs.png	(from https://api.qunitjs.com/)
10:08:26	1078/1078	---MCZ	200	added ('OK')	application/javascript	etag:W/%22564cce50-436%22	http://api.qunitjs.com/wp-includes/js/comment-reply.min.js?ver=4.4	api.qunitjs.com/wp-includes/js/comment-reply.mineb11.js	(from https://api.qunitjs.com/)
10:08:27	1518/1518	---MCZ	200	added ('OK')	application/javascript	etag:W/%225660a355-5ee%22	http://api.qunitjs.com/wp-includes/js/wp-embed.min.js?ver=4.4	api.qunitjs.com/wp-includes/js/wp-embed.mineb11.js	(from https://api.qunitjs.com/)
10:08:27	18357/18357	---MCZ	200	added ('OK')	text/html	date:Fri,%2025%20Mar%202016%2009:08:22%20GMT	http://api.qunitjs.com/category/assert/	api.qunitjs.com/category/assert/index.html	(from https://api.qunitjs.com/)
10:08:27	33855/33855	---MCZ	200	added ('OK')	text/html	date:Fri,%2025%20Mar%202016%2009:08:22%20GMT	https://api.qunitjs.com/category/all/	api.qunitjs.com/category/all/index.html	(from https://api.qunitjs.com/)
10:08:27	14169/14169	---MCZ	200	added ('OK')	text/html	date:Fri,%2025%20Mar%202016%2009:08:22%20GMT	http://api.qunitjs.com/category/async-control/	api.qunitjs.com/category/async-control/index.html	(from https://api.qunitjs.com/)
10:08:28	25395/25395	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%225428852c-6333%22	http://api.qunitjs.com/jquery-wp-content/themes/jquery/css/fonts/fontawesome-webfont.eot?v=3.0.2	api.qunitjs.com/jquery-wp-content/themes/jquery/css/fonts/fontawesome-webfont994f.eot	(from http://api.qunitjs.com/jquery-wp-content/themes/jquery/css/base.css?v=1)
10:08:29	14871/14871	---MCZ	200	added ('OK')	text/html	date:Fri,%2025%20Mar%202016%2009:08:23%20GMT	http://api.qunitjs.com/category/callbacks/	api.qunitjs.com/category/callbacks/index.html	(from https://api.qunitjs.com/)
10:08:30	15354/15354	---MCZ	200	added ('OK')	text/html	date:Fri,%2025%20Mar%202016%2009:08:24%20GMT	http://api.qunitjs.com/category/config/	api.qunitjs.com/category/config/index.html	(from https://api.qunitjs.com/)
10:08:31	13926/13926	---MCZ	200	added ('OK')	text/html	date:Fri,%2025%20Mar%202016%2009:08:25%20GMT	http://api.qunitjs.com/category/test/	api.qunitjs.com/category/test/index.html	(from https://api.qunitjs.com/)
10:08:31	25395/25395	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%225428852c-6333%22	http://api.qunitjs.com/jquery-wp-content/themes/jquery/css/fonts/fontawesome-webfont.eot?	api.qunitjs.com/jquery-wp-content/themes/jquery/css/fonts/fontawesome-webfontd41d.eot	(from http://api.qunitjs.com/jquery-wp-content/themes/jquery/css/base.css?v=1)
10:08:31	29380/29380	---MCZ	200	added ('OK')	application/font-woff	etag:W/%225428852c-72c4%22	http://api.qunitjs.com/jquery-wp-content/themes/jquery/css/fonts/fontawesome-webfont.woff?v=3.0.2	api.qunitjs.com/jquery-wp-content/themes/jquery/css/fonts/fontawesome-webfont994f.woff	(from http://api.qunitjs.com/jquery-wp-content/themes/jquery/css/base.css?v=1)
10:08:32	5521/5521	---M--	200	added ('OK')	image/png	etag:%2254454444-1591%22	http://api.qunitjs.com/jquery-wp-content/themes/jquery/images/jq-global-nav.png	api.qunitjs.com/jquery-wp-content/themes/jquery/images/jq-global-nav.png	(from http://api.qunitjs.com/jquery-wp-content/themes/jquery/css/base.css?v=1)
10:08:33	5968/5968	---M--	200	added ('OK')	image/jpeg	etag:%2254454444-1750%22	http://api.qunitjs.com/jquery-wp-content/themes/jquery/images/bg-footer-noise.jpg	api.qunitjs.com/jquery-wp-content/themes/jquery/images/bg-footer-noise.jpg	(from http://api.qunitjs.com/jquery-wp-content/themes/jquery/css/base.css?v=1)
10:08:34	8005/8005	---M--	200	added ('OK')	image/png	etag:%2254454444-1f45%22	http://api.qunitjs.com/jquery-wp-content/themes/jquery/images/jq-nav-icons.png	api.qunitjs.com/jquery-wp-content/themes/jquery/images/jq-nav-icons.png	(from http://api.qunitjs.com/jquery-wp-content/themes/jquery/css/base.css?v=1)
10:08:34	4542/4542	---M--	200	added ('OK')	image/png	etag:%2254454444-11be%22	http://api.qunitjs.com/jquery-wp-content/themes/jquery/images/logo-jquery.png	api.qunitjs.com/jquery-wp-content/themes/jquery/images/logo-jquery.png	(from http://api.qunitjs.com/jquery-wp-content/themes/jquery/css/base.css?v=1)
10:08:35	4496/4496	---M--	200	added ('OK')	image/png	etag:%2254454444-1190%22	http://api.qunitjs.com/jquery-wp-content/themes/jquery/images/logo-jquery-ui.png	api.qunitjs.com/jquery-wp-content/themes/jquery/images/logo-jquery-ui.png	(from http://api.qunitjs.com/jquery-wp-content/themes/jquery/css/base.css?v=1)
10:08:35	4062/4062	---M--	200	added ('OK')	image/png	etag:%2254454444-fde%22	http://api.qunitjs.com/jquery-wp-content/themes/jquery/images/logo-jquery-mobile.png	api.qunitjs.com/jquery-wp-content/themes/jquery/images/logo-jquery-mobile.png	(from http://api.qunitjs.com/jquery-wp-content/themes/jquery/css/base.css?v=1)
10:08:36	6303/6303	---M--	200	added ('OK')	image/png	etag:%2254454444-189f%22	http://api.qunitjs.com/jquery-wp-content/themes/jquery/images/logo-sizzle.png	api.qunitjs.com/jquery-wp-content/themes/jquery/images/logo-sizzle.png	(from http://api.qunitjs.com/jquery-wp-content/themes/jquery/css/base.css?v=1)
10:08:36	4440/4440	---M--	200	added ('OK')	image/png	etag:%2254454444-1158%22	http://api.qunitjs.com/jquery-wp-content/themes/jquery/images/logo-qunit.png	api.qunitjs.com/jquery-wp-content/themes/jquery/images/logo-qunit.png	(from http://api.qunitjs.com/jquery-wp-content/themes/jquery/css/base.css?v=1)
10:08:37	3718/3718	---M--	200	added ('OK')	image/png	etag:%2254454444-e86%22	http://api.qunitjs.com/jquery-wp-content/themes/jquery/images/logo-jquery-foundation.png	api.qunitjs.com/jquery-wp-content/themes/jquery/images/logo-jquery-foundation.png	(from http://api.qunitjs.com/jquery-wp-content/themes/jquery/css/base.css?v=1)
10:08:38	7294/7294	---M--	200	added ('OK')	image/png	etag:%2254454444-1c7e%22	http://api.qunitjs.com/jquery-wp-content/themes/jquery/images/logo-jquery-events.png	api.qunitjs.com/jquery-wp-content/themes/jquery/images/logo-jquery-events.png	(from http://api.qunitjs.com/jquery-wp-content/themes/jquery/css/base.css?v=1)
10:08:38	55096/55096	---M--	200	added ('OK')	application/octet-stream	etag:%225428852c-d738%22	http://api.qunitjs.com/jquery-wp-content/themes/jquery/css/fonts/fontawesome-webfont.ttf?v=3.0.2	api.qunitjs.com/jquery-wp-content/themes/jquery/css/fonts/fontawesome-webfont994f.ttf	(from http://api.qunitjs.com/jquery-wp-content/themes/jquery/css/base.css?v=1)
10:08:38	149/149	---M--	200	added ('OK')	image/png	etag:%2254454444-95%22	http://api.qunitjs.com/jquery-wp-content/themes/jquery/images/bullet.png	api.qunitjs.com/jquery-wp-content/themes/jquery/images/bullet.png	(from http://api.qunitjs.com/jquery-wp-content/themes/jquery/css/base.css?v=1)
10:08:38	5436/5436	---M--	200	added ('OK')	image/png	etag:%2254454444-153c%22	http://api.qunitjs.com/jquery-wp-content/themes/jquery/images/gauze.png	api.qunitjs.com/jquery-wp-content/themes/jquery/images/gauze.png	(from http://api.qunitjs.com/jquery-wp-content/themes/jquery/css/base.css?v=1)
10:08:38	168/168	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2025%20Mar%202016%2009:08:34%20GMT	http://api.qunitjs.com/jquery-wp-content/themes/jquery/images-foundation/gauze.png	api.qunitjs.com/jquery-wp-content/themes/jquery/images-foundation/gauze.png	(from http://api.qunitjs.com/jquery-wp-content/themes/jquery/css/base.css?v=1)
